ID,LAT,LON
221,41.16800000,-87.85067000
268,26.02637000,-80.34644000
437,41.37563000,-88.83592000
568,38.06075000,-78.93638000
607,35.09999700,-80.94941500
583,32.72839000,-97.78954000
158,29.18583000,-81.07700000
262,39.37350000,-77.41050000
285,39.29250000,-84.52100000
322,32.70930000,-97.47880000
495,35.57131000,-77.40080000
525,41.60339000,-81.43917000
549,37.56850000,-84.31090000
81,36.43567000,-77.64333000
195,42.74217000,-84.65700000
363,35.60965000,-78.55692000
747,40.68500000,-80.08600000
526,41.13224000,-85.00689000
133,40.73067000,-84.08783000
68,41.05883000,-83.67100000
719,32.43270970,-94.77467130
453,37.32711000,-87.48049000
694,39.94767000,-86.35181800
237,33.64833000,-86.83167000
49,39.82833000,-86.29067000
460,36.62077000,-88.31436000
371,41.62308000,-80.18194000
521,36.46734000,-86.67958000
302,43.98833000,-75.94300000
431,40.18598800,-77.19139800
476,34.83082000,-87.62803000
632,37.85936200,-87.56786200
26,36.08283000,-86.76133000
127,37.24867000,-93.26167000
111,38.61583000,-90.04500000
664,34.30056600,-86.27602700
372,35.17113000,-90.19116000
731,39.63798500,-78.83023200
116,39.80133000,-86.00950000
23,36.15250000,-86.62900000
764,34.21735000,-119.06604000
213,37.79569000,-97.32896000
508,41.42262000,-81.76054000
87,36.17867000,-86.51300000
536,38.76912000,-90.26694000
34,36.13250000,-86.89483000
99,38.46183000,-90.37433000
440,40.43400000,-86.12660000
232,38.72500000,-89.91517000
93,38.31700000,-88.95517000
269,35.70567000,-81.30717000
528,41.57957000,-83.68095000
400,39.55325300,-85.77491800
499,28.36799100,-81.40799400
65,37.36193900,-81.05313500
350,41.52310000,-73.88920000
317,42.62045000,-73.69171000
160,34.93900000,-80.96667000
77,38.04583000,-84.42483000
19,38.10250000,-84.48133000
86,36.93100000,-86.41850000
567,38.25563000,-90.40141000
153,38.22333000,-85.54117000
168,34.96459300,-90.00142300
358,38.17258400,-84.81303600
691,37.79918000,-85.43100000
36,35.16800000,-89.86417000
650,38.09551800,-85.87488200
722,34.93079400,-88.54767100
417,38.20165000,-85.75050000
531,37.00394000,-88.32772000
284,35.66917000,-88.82633000
48,37.71100000,-85.83367000
394,36.88163000,-87.73577000
770,,
908,,
774,,
714,33.12269100,-96.66622000
327,32.56314000,-97.31922000
24,37.07330000,-88.69700000
194,33.79800000,-78.74033000
8,36.97852700,-84.11266200
76,34.64667000,-79.01533000
33,36.32233000,-86.70983000
150,38.54200000,-90.46833000
503,28.66599000,-81.39076000
427,34.31580000,-88.69770000
509,40.02048000,-75.66604000
320,30.21721000,-93.32260000
115,42.22183000,-83.48633000
333,39.48147000,-76.24861000
343,36.32513600,-78.45054900
74,40.05517000,-85.65283000
179,39.04533000,-94.38733000
177,39.04167000,-95.76017000
379,29.98051100,-95.42365800
557,30.66495000,-87.85021000
451,30.03882000,-94.15715000
673,29.54379500,-95.74676300
288,30.36656300,-95.48654200
610,35.08384300,-85.07333400
485,38.71660000,-75.11191000
207,37.60883000,-77.35550000
724,34.49959000,-89.03177000
304,32.34144600,-90.84200600
241,27.10517000,-80.25617000
346,45.74790000,-108.56400000
636,36.29123800,-95.83508800
351,35.59010000,-97.42568000
576,29.43561000,-98.64747000
602,37.07680000,-113.58330000
416,35.21810000,-114.03437000
292,38.32307400,-104.61697000
335,33.30531000,-111.97228000
683,43.61271000,-116.59508900
729,47.70152000,-116.80760000
331,33.63827000,-112.23486000
670,26.19158210,-97.72011890
769,32.90046000,-96.45850000
359,43.59016000,-116.27416000
344,32.35914000,-111.09103000
198,33.03833000,-97.00200000
763,33.38063900,-111.72050000
618,33.43550000,-111.86940000
149,33.24417000,-97.17700000
305,32.69538000,-114.60376000
210,35.19350000,-101.81133000
692,31.09005800,-97.38571600
767,37.67544100,-97.42352000
16,35.91916000,-84.09216000
83,36.45517000,-82.52333000
543,33.77547000,-84.60742000
79,35.99927600,-85.04455700
505,33.91874000,-83.44255000
546,36.02949000,-83.87291000
689,33.51141100,-81.71272000
588,34.12000000,-83.76000000
42,34.03250000,-81.12200000
446,33.55210000,-80.88155000
25,34.83047000,-82.30316000
40,33.72998000,-84.75830500
6,35.90933000,-84.58767000
424,34.47067000,-84.91886000
311,36.37800000,-82.42654000
584,34.38785000,-84.87172800
561,33.04170000,-84.97230000
614,36.62850000,-82.12140000
635,34.09128000,-81.16213600
494,35.76357000,-83.98681000
573,35.82773000,-84.27747000
906,,
905,,
361,30.79069000,-81.65995000
462,42.11484000,-72.07516000
455,31.61623300,-84.21162100
386,40.63154000,-74.91865000
411,40.02735000,-74.81690000
599,33.60833900,-86.27963800
720,36.33581100,-94.18573800
310,39.89272000,-83.81158000
512,41.23184000,-75.86671000
41,35.26983000,-81.14883000
69,34.22767000,-79.79700000
357,28.52060000,-82.23490000
506,27.46201000,-82.59494000
565,35.03895000,-85.68518000
594,32.48000000,-99.70000000
189,28.10000000,-81.95117000
489,28.54673000,-81.73935000
249,35.45617000,-80.58517000
72,37.28550000,-76.71783000
353,30.21077000,-90.94811000
222,41.92434600,-83.36437700
502,37.41410700,-77.64256800
622,31.29675500,-94.72895000
665,43.63463200,-70.33837100
3,35.50370000,-86.08760000
126,39.18333000,-81.52667000
295,40.15086000,-84.21915000
370,39.94691000,-82.01087000
484,39.91933000,-74.94736000
307,41.65409000,-88.12402000
392,39.02276900,-96.81557800
66,42.26133000,-85.20200000
176,41.55350000,-87.79617000
39,35.23980700,-80.91814000
121,39.93250000,-82.78917000
340,36.23958000,-80.81808000
365,40.88647000,-96.68210000
381,33.09522000,-96.11156000
410,42.13135600,-75.90495800
507,39.16251000,-84.27187000
598,40.14000000,-74.96000000
220,42.03167000,-86.51467000
537,38.29864000,-77.50897000
544,35.64289000,-86.89519000
71,38.22091800,-84.53978500
492,39.65979000,-84.10897000
562,34.91105000,-85.12546000
4,36.22950000,-84.15830000
35,30.84500000,-83.33100000
62,41.13250000,-85.16050000
118,29.55067000,-81.20767000
146,34.02750000,-84.04750000
281,37.38633000,-79.90283000
341,30.24909000,-81.59288000
497,42.03707400,-71.34833700
658,36.65608600,-76.23231100
663,35.14059900,-80.71786100
5,34.75116000,-84.99816000
225,27.01804000,-82.04931400
299,40.77323000,-76.22361000
337,40.08630000,-111.70360000
447,46.80834000,-100.78306000
681,40.81636000,-77.89999000
606,35.98980000,-77.87940000
114,41.13467000,-81.64617000
572,38.29958900,-76.50960000
119,26.68483000,-81.79650000
